,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,57.756,27.081,16.781333333333333,11.723,8.776,0.1339620053768158,0.1048247292637825,0.08928495645523071,0.08641469478607178,0.08490599691867828
1,far_focus,58.286,25.196,14.686,9.7925,7.044,0.13397452235221863,0.13397452235221863,0.13397452235221863,0.13397452235221863,0.13397452235221863
2,fog_3d,56.056,20.594,9.897333333333334,5.578,3.4372,0.942996721714735,0.0352916494011879,0.05218314379453659,0.054339416325092316,0.05206366628408432
3,flash,38.794,17.43,9.940666666666667,5.859,3.094,0.1941305696964264,0.13934168219566345,0.10851840674877167,0.1419200450181961,0.19565649330615997
4,color_quant,64.622,31.689,19.500666666666667,10.569,2.734,0.09012361615896225,0.16648781299591064,0.18376444280147552,0.5930142998695374,0.1047259196639061
5,low_light,43.594,20.067,11.662666666666667,6.857,3.2608,0.05713745206594467,0.05982426181435585,0.10092587023973465,0.09734149277210236,0.03474961221218109
6,xy_motion_blur,40.07,14.17,6.965333333333334,4.0155,2.554,0.4143131375312805,0.0885159820318222,0.0779891312122345,0.05531064048409462,0.06601488590240479
7,z_motion_blur,39.26,16.218,8.993333333333334,5.668,4.1012,0.2304898500442505,0.2563612163066864,0.549552857875824,0.5101552605628967,0.6586976647377014
8,iso_noise,28.01,12.248,5.898,2.421,0.706,0.10997682064771652,0.034562159329652786,0.04058058559894562,0.5211669206619263,0.2854752540588379
9,bit_error,56.026,24.776,13.912,8.5305,3.8816,0.07428131252527237,0.07428131252527237,0.13382190465927124,0.04791491851210594,0.07783372700214386
10,h265_abr,63.382,30.985,19.101333333333333,11.6995,9.5512,0.1936875730752945,0.20285116136074066,0.30452877283096313,0.11679425090551376,0.13201017677783966
